黑神鍋, "The Black Cauldron"
富貴狗, "Fooblitzky"
立體西洋棋, "Psion Chess"
飛狼突擊, "Infiltrator"
竹香齋, ""
迷宮探險, "Montezuma's Revenge"
步步驚魂, "Borrowed Time"
金牌運動員, "Championship Lode Runner"
國際密探, ""
魔法生死鬥, "King's Quest III"
青蛙上天, "Frogger II"
棋狂2000, "Chessmaster 2000"
跳跳車, "Up'n Down"
高爾夫大賽, "Golf's Best"
決戰富士山, "Karateka"
摔角大賽, "Bop'n Wrestle"


潛艇爭霸戰, "Sub Battle"
宇宙傳奇, "Space Quest"
星際大冒險, "Psi 5 Trading Co."
強棒出擊, "Pure-Stat Baseball"
瘋狂運動員, "Lode Runner III"
橄欖球風雲, "FGL Championship Football"
棒棒開花, "Championship Baseball"
魔境勇士, "Phantasie"
空手道, "World Karate Championship"
金牌高爾夫, "Championship Golf"
無敵戰艦, "Destroyer"
南極之狐, "Arcticfox"
衝出異次元, "Tass Times in Tonetown"
星球保護神, "Starglider"
籃球爭霸戰, "GBA Championship Basketball Two-On-Two"
上海之謎, ""


緊急追緝令, "Where in the U.S.A. is Carmen Sandiego?"
戰場之狼, "Commando"
七海雄風, "The Ancient Art of War at Sea"
職業保齡球, ""
夏季運動會II, "Summer Games II"
冬季運動會, "Winter Games"
世界運動會, "World Games"
雙人摔角, "Tag Team"
空中英雄, ""
立體直昇機, "3-D Helicopter Simulator"
瘋狂彈珠球, "Marble Madness"
侵略者, "Hacker II: The Doomsday Papers"
戰國英雄, "Defender of the Crown"
天人合一, "Ultima IV"
神戒傳奇, "Ring of Zilfin"
上海, "Shanghai"


空手道, "World Karate Championship"
迷宮探險, "Montezuma's Revenge"
飛狼突擊, "Infiltrator"
摔角大賽, "Bop'n Wrestle"
風雲戰艦, "P.H.M. Pegasus"
強棒出擊, "Pure-Stat Baseball"
霹靂神槍, "GunSlinger"
天魔神兵, "The Bard's Tale II"
魔神之吼, "Phantasie III"
衝出異次元, "Tass Times in Tonetown"
星球保護神, "Starglider"
雙人摔角, "Tag Team"
星際爭霸, ""
深太空, "Deep Space: Operation Copernicus"
永恆之劍, "The Eternal Dagger"
