立體花式撞球, "Sharkey's 3D Pool"
鑽石方塊, "Puzznic"
御封戰將, "King's Bounty"
激戰Ｍ星雲, "Star Control"
石之道, "Ishido: The Way of Stones"
油龍戲縫, "Oil's Well"
ＮＢＡ大賽, "TV Sports: Basketball"
霹靂男兒, "Days of Thunder"
決戰俄羅斯, "Face to Face"
楚漢之爭, "King of the Dragon Land"
十字逆襲, "Netherworld"
魔點, "Weird Dice"
麻雀學園, "Majung Academy"
通天蜘蛛人, "The Amazing Spider-Man"
銀河飛將資料片：秘密任務, "Wing Commander: Secret Missions 1"
空戰奇兵, "AirStrike USA"
風神傳承, "Stormlord"


蝙蝠俠電影版, "BATMAN - The Movie"
第六感生死關頭, "Interphase"
加州運動會Ⅱ, "California Games 2"
浩劫餘生, "Fountain of Dreams"
蓋世龍王, "Dragon Lord"
圍棋, "The Many Faces of GO"
烏龍吸血鬼, "Night Hunter"
銀河飛將資料片：秘密任務２, "Wing Commander: Secret Missions 2"
趣味高爾夫, "Will Harvey's Zany Golf"
俄式遊戲集錦, "TROIKA"
街頭小霸王, "RanX"
魔眼小精靈, "Mind-Roll"
魔幻遊樂場, "Theme Park Mystery"
連環泡, "Pick'n Pile"
終極戰士２, "PREDATOR 2"
六角神兵, "Hexsider"


緝毒特勤組, "HoverForce"
F-15鷹式戰鬥機Ⅱ資料片：沙漠風暴, "F-15 Strike Eagle II: Operation Desert Strom Scenario Disk"
名車大賽Ⅲ資料片, "Test Drive III: Road & Car"
飛狼突擊隊, "Armor Alley"
復國恩仇錄, "Iron Lord"
迷宮動動腦, "Chip's Challenge"
小鬼當家, "Home Alone"
黑武士, "Blade Warrior"
樂透黃金夢, "Lotto Gold"
方塊ＡＢＣ, "Wordtris"
雪山競技, "The Games: Winter Challenge"
火爆鋼球, "Speedball 2 Brutal Deluxe"
銀河飛將Ⅱ資料片：特別任務１, "Wing Commander II: Special Operations 1"
送報童２, "PaperBoy 2"
立體西洋棋Ｖ, "Sargon V: World Class Chess"
銀河飛將Ⅱ資料片：特別任務２, "Wing Commander II: Special Operations 2"


狂飆遊龍, "Road & Track: Presents Grand Prix Unlimited"
創世紀Ⅶ–美德試煉場, "Ultima VII: Forge of Virtue"
撞球補習班, "？"
雷火戰機, "MH28"
瑪麗姊妹, "Sister Mary"
天下第一刀, "The First Samurai"
玩具兵棋, "Theatre of War"
夏季運動會, "The Games: Summer Challenge"
麻雀俄羅斯, "？"
惡魔城傳說, "Castlevania"
