id	title_zh	year	developer	publisher_tw	loc	platform	chiuinan_url
cdg-0345	五子棋	1988	第三波		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/five.htm
cdg-0611	民主遊戲	1988	李天啟		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/taiwan.htm
cdg-3456	華容道	1988	李天啟		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/wst3.htm
cdg-1536	風雲麻將	1989	大宇		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c42/fymj.htm
cdg-3774	魔術拼圖	1989	大宇		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/domo.htm
cdg-2205	超級天九	1990	船塢資訊	資訊週刊	native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/add9.htm
cdg-2453	智商180	1990	第三波		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/iq180.htm
cdg-3353	賽跑棋	1990	船塢資訊		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/run.htm
cdg-1037	四玲瓏	1992	尋夢園		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/4LL.htm
cdg-2592	邪神傳說	1992	智冠		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c12/evilgod.htm
cdg-1118	帝國的光榮2：帝國大反擊	1993	萊茵工作室	資策科技	native	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/rs702.htm
cdg-1866	福爾摩斯探案：開膛手傑克	1993	Mythos	智冠	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/holmes.htm
cdg-3400	戰神2	1993	SSG	智冠	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/warlord2.htm
cdg-0318	中英文輸入練習高手速成	1994	星僑		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/ncc4.htm
cdg-0485	太子降魔傳	1994	唐山		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/tzxmz.htm
cdg-0727	正宗四川省麻將	1994	九藝		native	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c42/4rw.htm
cdg-1070	女媧補天：全家福篇	1994	第三波		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/nuwa.htm
