cdg-0001	007詹姆士龐德：夜之火	'James Bond 007: Nightfire'	2002	Electronic Arts
cdg-0002	0204真情麻將	0204真人麻將	2002	冠捷
cdg-0003	0204麻將情人夢		2003	冠捷
cdg-0004	0204麻將館		2002	冠捷
cdg-0005	121特戰隊	'Combat: Task Force 121'|America's Secret Operations	2005	Direct Action
cdg-0006	16張臺灣麻將		1987	第三波
cdg-0007	18輪大車拼	Mercedes-Benz Truck Racing	2000	Synetic GmbH
cdg-0008	18鋼輪2：橫跨美國	18輪卡車美國秀 18|'Wheels of Steel: Across America'	2003	SCS
cdg-0009	18鋼輪3：全速前進	瘋狂大卡車之金屬瘋狂 18|'Wheels of Steel: Pedal To The Metal'	2004	SCS
cdg-0010	18鋼輪4：護航	瘋狂大卡車之護航 18|'Wheels of Steel: Convoy'	2005	SCS
cdg-0011	18鋼輪5：拖運 18	'Wheels of Steel: Haulin'''	2006	SCS
cdg-0012	18鋼輪6：美國長途運輸 18	'Wheels of Steel: American Long Haul'	2007	SCS
cdg-0013	1990世界杯足球賽	'World Cup Soccer: Italia ''90'|Rick Davis's World Trophy Soccer	1989	Novotrade
cdg-0014	2001中國象棋個人賽		2002	晟業
cdg-0015	2002舒馬赫世界卡丁車大賽	Michael Schumacher Racing World Kart 2000	2002	Radon
cdg-0016	2006寫真美眉總動員		2006	遊戲天堂
cdg-0017	20XX		2014	Batterystaple
cdg-0018	3D世紀暗棋		2000	伊世紀
cdg-0019	3D小精靈	'Pac-Man: Adventures in Time Setup'	2000	Creative Asylum
cdg-0020	3D撞球2	Brunswick Pro Pool 3D II	2000	Headgames
cdg-0021	3D撞球高手 3	D Pool Shark	2003	Cosmi
cdg-0022	3D立體真實撞球冠軍	Pool Champion	1995	Mindscape
cdg-0023	3D過山車設計師 3	D Roller Coaster Designer	2000	Pantera
cdg-0024	3D鐵路大亨之鐵路之鄉	'3'|D模擬火車 3D Ultra Lionel Traintown	1999	Dynamix
cdg-0025	3D魔宮聖戰	妮姬發哥大冒險|Pandemonium!	1996	Toys for Bob
cdg-0026	3D麻將 3	D Mahjongg	2000	Megaware
cdg-0027	3D黑白棋		2001	伊世紀
cdg-0028	4x4方程式賽車1	'4'|x4越野賽車1 4x4 Evo|4x4 Evolution	2000	Terminal Reality
cdg-0029	4x4方程式賽車2	'4'|x4越野賽車2 4x4 Evo 2|4x4 Evolution 2	2001	Terminal Reality
cdg-0030	4x4越野車大賽	'4'|x4越野賽車 4x4 Off-Road Racing	1988	Ogdan
cdg-0031	97GT體感賽車之風馳電掣／	GT賽車97 GT Racing 97	1997	Blue Sphere
cdg-0032	97超少女－連線水果盤	97超少女-连线水果盘	1993	天堂鳥
cdg-0033	98國際越野冠軍賽	International Rally Championship	1997	Europress
cdg-0034	A-10坦克殺手	新|A-10坦克殺手 A-10 Tank Killer	1989	Dynamix
cdg-0035	ATV越野沙灘大賽車	四輪越野賽車|ATV Mudracer	2004	Team6
cdg-0036	ATV越野沙灘車		2003	瑪吉斯
cdg-0037	AV天后-女優麻將		2004	遊戲天堂
cdg-0038	AV女優麻將國：正宗台灣16張真人麻將		2002	冠捷
cdg-0039	A列車3	鐵路|A計劃 A-Train	1992	Artdink
cdg-0040	A列車4	A-Train 4	1995	Artdink
cdg-0041	A列車7	A-Train 7	2006	Artdink
cdg-0042	A列車8	A-Train 8	2008	Artdink
cdg-0043	A列車9	A-Train 9	2011	Artdink
cdg-0044	B17飛行堡壘：第八飛行中隊	'B-17 Flying Fortress: The Mighty 8th'	2000	Wayward
cdg-0045	B17飛行堡壘：英烈的歲月	B-17 Flying Fortress	1992	Vektor Grafix
cdg-0046	C.E.O	AIV Network|A4 Networks	1995	Artdink
cdg-0047	CC桃色醫院		2006	Spirit Speak
cdg-0048	DDR99 Diet Diet Revolution '99		1999	Ez Works
cdg-0049	Di Gi Charat Fantasy：仲夏夜之夢		2001	Broccoli
cdg-0050	D之食卓	D	1995	Warp
cdg-0051	E.I.特戰隊	Enemy Infestation	1998	Micro Forte
cdg-0052	Edax		2020	Richard Delorme
cdg-0053	EQ大富翁		1998	弘煜
cdg-0054	ES方程式		1997	Abogado
cdg-0055	e族在賽車	eRacer	2001	Rage
cdg-0056	e路狂飆	Speed Mania	2001	瑪吉斯
cdg-0057	F-22猛禽戰鬥機	F-22 Raptor	1997	NovaLogic
cdg-0058	F-22雷霆戰機	F-22 Lightning II	1996	NovaLogic
cdg-0059	F16攻擊者／	F-16侵略者 F-16 Aggressor	1998	GSI
cdg-0060	F1一級方程式賽車2000／	F1方程式大賽2000 F1 2000|Formula 1 Championship 2000	2000	Image Space
cdg-0061	F1一級方程式賽車2001／	F1方程式賽車2001 F1 2001	2001	Image Space
cdg-0062	F1一級方程式賽車2002／	F1一級方程式大賽2002 F1 2002	2002	Image Space
cdg-0063	F1一級方程式錦標賽2000賽季	F1 Championship Season 2000	2000	Image Space
cdg-0064	F1世界大獎賽	高賞金|F1方程式大賽 F1 World Grand Prix	2000	Lankhor
cdg-0065	F1世界大獎賽2000	生死極速|F1方程式賽車錦標賽2000 F1 World Grand Prix 2000|F1 World Grand Prix	2001	Eutechnyx
cdg-0066	F1挑戰賽99-02／	F1職業挑戰賽 F1 Challenge 99-02|F1 Career Challenge	2003	Image Space
cdg-0067	F1熱血賽車	奈傑爾曼塞爾世界錦標賽|Nigel Mansell's World Championship|Nigel Mansell's F-1 Challenge	1993	Gremlin
cdg-0068	F1賽車1994／	F1大賽車94 F1|Formula One	1994	Lankhor
cdg-0069	F1賽車模擬	雷霆賽車|F1 Racing Simulation	1997	Ubisoft
cdg-0070	F1賽車模擬2	摩納哥大獎賽：賽車模擬2|'Monaco Grand Prix: Racing Simulation 2'	1998	Ubisoft
cdg-0071	F1賽車經理	F1 Manager	1996	Software 2000
cdg-0072	F1賽車經理專業版	F1 Manager Professional	1997	Software 2000
cdg-0073	F1車隊經理2000	F1 Manager	2000	IG
cdg-0074	FinFin海豚鳥／	'FinFin另一個地球 TEO: The Other Earth'	1996	富士通
cdg-0075	Fool Panda歷險記		2000	旭力亞
cdg-0076	FRB右腦飛行		1998	大時科技
cdg-0077	G-Nome		1997	7th Level
cdg-0078	Go-Moku 95		1996	GoodGuys
cdg-0079	GP500摩托賽	Grand Prix 500 2	1991	Microids
cdg-0080	GP大賽車	方程式賽車|Grand Prix Circuit	1988	DS
cdg-0081	GP賽車傳奇	Grand Prix Legends	1998	Papyrus
cdg-0082	GTI錦標賽／	GTI賽車 GTI Racing	2006	Techland
cdg-0083	GT超級房車賽	超級房車賽|微地馬拉運動賽車|Sports Car GT	1999	Image Space
cdg-0084	Hello Kitty 25週年紀念珍藏	CD-ROM：最愛的!! Hello Kitty	1999	Sanrio
cdg-0085	Herakles		2007	Kostas Tournavitis
cdg-0086	H！神探		2002	伊思儷
cdg-0087	ID4星際終結者	Independence Day	1997	Radical
cdg-0088	IL-2暴風雪	伊爾2|捍衛雄鷹之|IL2戰機 IL-2 Sturmovik	2001	1C
cdg-0089	IL-2暴風雪	伊爾2：被遺忘之戰鬥|榮譽重生|'IL-2 Sturmovik: Forgotten Battles'|Rebirth of Honor	2003	1C
cdg-0090	IL-2暴風雪	伊爾2：1946|'IL-2 Sturmovik: 1946'	2006	1C
cdg-0091	iM1A2艾布拉姆斯坦克	'iM1A2 Abrams: America''s Main Battle Tank'	1997	Charybdis
cdg-0092	Internet時光機	Internet EasyGo!	2000	鉅盛
cdg-0093	Iris鳶尾花物語		2008	KID
cdg-0094	Jewel		1991	定碁
cdg-0095	KataGo		2019	David J. Wu
cdg-0096	KataGomo		2020	Sigmoid
cdg-0097	kefir護兒優酪乳 教玩遊戲光碟：英文系列		2002	統一
cdg-0098	Leela		2017	Gian-Carlo Pascutto
cdg-0099	Leela Zero		2019	Gian-Carlo Pascutto
cdg-0100	LIS太空號數學歷險	Lost in Space Math Adventure	1998	Sound Source
cdg-0101	MISS阿性李勉之的世紀大富翁		1999	爾波國際
cdg-0102	NBA 2K12		2011	Visual Concepts
cdg-0103	NBA內線進攻2000	微軟|NBA 2000 NBA Inside Drive 2000	2000	High Voltage Software
cdg-0104	NBA全場緊迫盯人	NBA Full Court Press	1996	Beam Software
cdg-0105	NBA灌籃奇兵	NBA HangTime	1996	Midway
cdg-0106	NTest		2005	Chris Welty
cdg-0107	Nyet		1988	David B. Howorth
cdg-0108	'Nyet 3: The Revenge of the Mutant Stones'		1993	Proline
cdg-0109	P2K總統大選		1999	智冠
cdg-0110	Pango		1983	Sheng-Chung Liu
cdg-0111	PC拉力賽	PC Rally	1995	Digital Dreams
cdg-0112	PC魔術方塊	Cubulus	1991	Software 2000
cdg-0113	QQ三國志		1997	天堂鳥
cdg-0114	Q女天使學園		1996	ANJIN
cdg-0115	RS-2		1990	大宇
cdg-0116	SODA越野賽車	短程越野賽協會|'All American Sports Series: SODA Off-Road Racing'	1997	Software Allies
cdg-0117	Sound it out！說的容易：字母篇		1999	酷家族多媒體
cdg-0118	Shift!		1999	歡樂盒
cdg-0119	Stockfish		2021	Costalba
cdg-0120	T2終結者西洋棋	'Terminator 2: Judgement Day - Chess Wars'	1993	IntraCorp
cdg-0121	Taiwan麻雀	台灣麻將	1999	向量科技
cdg-0122	VR中華職棒	VR Chinese Professional Baseball Game	1999	次方,區格
cdg-0123	VR快打1／	VR戰士1 Vritua Fighter	1996	SEGA
cdg-0124	VR快打2／	VR戰士2 Vritua Fighter 2	1997	SEGA
cdg-0125	VR機車賽	'Cyberbykes: Shadow Racer VR'	1995	Artificial Software
cdg-0126	VR終極戰警1／	VR戰警1 Vritua Cop	1996	SEGA
cdg-0127	VR終極戰警2／	VR戰警2 Vritua Cop 2	1997	SEGA
cdg-0128	VR網球96	Virtual Tennis	1996	Digital Dreams
cdg-0129	WIN麻將	NET	1999	捷友
cdg-0130	Xian 3.0		1990	Leong Jacobs
cdg-0131	X少年事件簿	Diet Go Go	2001	Animedia
cdg-0132	X摩托2000	Edgar Torronteras' Moto-X 2000	2000	Deibus
cdg-0133	X檔案	The X-Files Game	1998	HyperBole
cdg-0134	YES!HG		1995	姬屋
cdg-0135	Yes！封神榜		2002	十乾科技
cdg-0136	Young Guns大富翁		1999	頂尖拍檔
cdg-0137	Z字特攻隊／	Z字特工隊 Z	1996	Bitmap Brothers
cdg-0138	ㄅㄆㄇ妙妙國(一)：ㄅㄆㄇ列車		1997	華友
cdg-0139	一九八九年中日圍棋擂臺賽		1993	星式
cdg-0140	一休和尚：自然攻略集		1997	草莓軟體
cdg-0141	一級方程式賽車96	Formula 1	1997	Bizarre Creations
cdg-0142	一級方程式賽車97	Formula 1 97	1998	Bizarre Creations
cdg-0143	一級方程式賽車99	Formula one 99	1999	Studio 33
cdg-0144	一級方程式賽車車隊經理	Racing Team Manager	2009	destraX
cdg-0145	一線生機	Danger Zone	1995	宏申
cdg-0146	一起五子棋		2021	業餘工作室
cdg-0147	一起翻轉棋		2020	業餘工作室
cdg-0148	一路狂飆	NASCAR Challenge|Bill Elliott's NASCAR Challenge	1991	DSI
cdg-0149	丁丁在西藏	Tintin in Tibet	1996	Infograms
cdg-0150	丁丁歷險記	'Tintin: Destination Adventure'	2001	Infogrames
cdg-0151	丁丁歷險記：太陽之罪	太陽的囚徒|'Tintin: Prisoners of the Sun'	1997	Infograms
cdg-0152	七大王朝1	七國演義1|七王國1|七個王國1|Seven Kingdoms	1997	Enlight
