catalog_id	title_zh	intro_url
SCD0136	007詹姆士龐德：夜之火	https://chiuinan.github.io/game/game/intro/eng/e51/007nf.htm
SCD0085	0204真情麻將	https://chiuinan.github.io/game/game/intro/ch/c42/0204-2.htm
SCD0086	0204麻將情人夢	https://chiuinan.github.io/game/game/intro/ch/c42/0204-3.htm
SCD2374	0204麻將館	https://chiuinan.github.io/game/game/intro/ch/c42/0204mj16.htm
SCD2399	121特戰隊	https://chiuinan.github.io/game/game/intro/eng/e51/comb121.htm
	16張臺灣麻將	https://chiuinan.github.io/game/game/intro/ch/c42/mh.htm
SCD1826	18輪大車拼	https://chiuinan.github.io/game/game/intro/eng/e52/trukrace.htm
SCD1614	18鋼輪2：橫跨美國	https://chiuinan.github.io/game/game/intro/eng/e33/18wosaa.htm
SCD1615	18鋼輪3：全速前進	https://chiuinan.github.io/game/game/intro/eng/e33/18wosptm.htm
SCD1616	18鋼輪4：護航	https://chiuinan.github.io/game/game/intro/eng/e33/18wosc.htm
SCD1617	18鋼輪5：拖運 18	https://chiuinan.github.io/game/game/intro/eng/e33/18wosh.htm
SCD1618	18鋼輪6：美國長途運輸 18	https://chiuinan.github.io/game/game/intro/eng/e33/18wosalh.htm
SWE209	1990世界杯足球賽	https://chiuinan.github.io/game/game/intro/eng/e52/italia.htm
SCD2205	2001中國象棋個人賽	https://chiuinan.github.io/game/game/intro/ch/c41/2001.htm
SCD1591	2002舒馬赫世界卡丁車大賽	https://chiuinan.github.io/game/game/intro/eng/e52/msrwk2k.htm
SCD1091	2006寫真美眉總動員	https://chiuinan.github.io/game/game/intro/ch/c44/ptgirls.htm
	20XX	https://chiuinan.github.io/game/game/intro/ch/c52/20xx.htm
SCD0116	3D世紀暗棋	https://chiuinan.github.io/game/game/intro/ch/c41/dfchess.htm
SCD1500	3D小精靈	https://chiuinan.github.io/game/game/intro/eng/e52/3dpacman.htm
	3D撞球2	https://chiuinan.github.io/game/game/intro/eng/e52/propool.htm
SCD2737	3D撞球高手 3	https://chiuinan.github.io/game/game/intro/eng/e52/3dps.htm
SCD0284	3D立體真實撞球冠軍	https://chiuinan.github.io/game/game/intro/eng/e52/poolcham.htm
SCD1491	3D過山車設計師 3	https://chiuinan.github.io/game/game/intro/eng/e33/3drcd.htm
SCD2161	3D鐵路大亨之鐵路之鄉	https://chiuinan.github.io/game/game/intro/eng/e44/trntown.htm
SCD1028	3D魔宮聖戰	https://chiuinan.github.io/game/game/intro/eng/e52/pandem.htm
SCD0637,SCD0636	3D麻將 3	https://chiuinan.github.io/game/game/intro/eng/e42/3dmj.htm
SCD0114	3D黑白棋	https://chiuinan.github.io/game/game/intro/ch/c41/3dgobang.htm
SCD1697	4x4方程式賽車1	https://chiuinan.github.io/game/game/intro/eng/e52/4x4evo1.htm
SCD1698	4x4方程式賽車2	https://chiuinan.github.io/game/game/intro/eng/e52/4x4evo2.htm
SWE076	4x4越野車大賽	https://chiuinan.github.io/game/game/intro/eng/e52/4x4.htm
SCD1919	97GT體感賽車之風馳電掣／	https://chiuinan.github.io/game/game/intro/eng/e52/gt97.htm
	97超少女－連線水果盤	https://chiuinan.github.io/game/game/intro/ch/c44/super97.htm
SCD0421	98國際越野冠軍賽	https://chiuinan.github.io/game/game/intro/eng/e52/irc.htm
SWT028,SWT119	A-10坦克殺手	https://chiuinan.github.io/game/game/intro/eng/e51/a10.htm
SCD0138	ATV越野沙灘大賽車	https://chiuinan.github.io/game/game/intro/eng/e52/atvm.htm
SCD2437	ATV越野沙灘車	https://chiuinan.github.io/game/game/intro/ch/c52/atv.htm
SCD0299	AV天后-女優麻將	https://chiuinan.github.io/game/game/intro/ch/c42/av.htm
SCD0443	AV女優麻將國：正宗台灣16張真人麻將	https://chiuinan.github.io/game/game/intro/ch/c42/mj2002c.htm
SWZ003	A列車3	https://chiuinan.github.io/game/game/intro/ch/c33/atrain.htm
3WG108	A列車4	https://chiuinan.github.io/game/game/intro/ch/c33/a4.htm
SCD0139	A列車7	https://chiuinan.github.io/game/game/intro/ch/c33/atrain7.htm
OCD0107	A列車8	https://chiuinan.github.io/game/game/intro/ch/c33/atrain8.htm
SCD0235	A列車9	https://chiuinan.github.io/game/game/intro/ch/c33/atrain9.htm
SCD2466	B17飛行堡壘：第八飛行中隊	https://chiuinan.github.io/game/game/intro/eng/e51/b178.htm
3WG038	B17飛行堡壘：英烈的歲月	https://chiuinan.github.io/game/game/intro/eng/e51/b17.htm
SCD0286	C.E.O	https://chiuinan.github.io/game/game/intro/eng/e33/ceo.htm
SCD1049	CC桃色醫院	https://chiuinan.github.io/game/game/intro/ch/c22/cc.htm
SCD1559	DDR99 Diet Diet Revolution '99	https://chiuinan.github.io/game/game/intro/ch/c52/ddr99.htm
SCD1600	Di Gi Charat Fantasy：仲夏夜之夢	https://chiuinan.github.io/game/game/intro/ch/c22/digicf.htm
SCD2167	D之食卓	https://chiuinan.github.io/game/game/intro/eng/e21/d.htm
SCD2400	E.I.特戰隊	https://chiuinan.github.io/game/game/intro/eng/e32/ei.htm
	Edax	https://chiuinan.github.io/game/game/intro/eng/e41/edax.htm
SCD0460	EQ大富翁	https://chiuinan.github.io/game/game/intro/ch/c43/easyquiz.htm
SCD0031	ES方程式	https://chiuinan.github.io/game/game/intro/ch/c22/es.htm
SCD1832	e族在賽車	https://chiuinan.github.io/game/game/intro/eng/e52/eracer.htm
OCD0129	e路狂飆	https://chiuinan.github.io/game/game/intro/ch/c52/spemania.htm
