id	title	year	developer	region	publisher_tw	signals
cdg-0400	大海盜	2004	Firaxis	null		post2000|dup:cdg-0399
cdg-3000	加菲貓的打字夥伴	2003	De Marque	null		edu|post2000
cdg-0220	三國志11	2006	KOEI	JP		post2000
cdg-0230	三國志英雄傳	2004	SystemSoft	JP	淇倫	post2000
cdg-0253	三國趙雲傳之縱橫天下	2004	第三波	TW		post2000
cdg-0335	二戰戰役：硫磺島	2006	Direct Action	null		post2000
cdg-0356	大唐隸教傳	2005	伊思儷	TW		post2000
cdg-0379	大富翁之大唐英雄遊江南	2004	斯普軟件	null	光昱	post2000
cdg-0392	大戰略	2009	SystemSoft	JP	光譜	dup:cdg-0389
cdg-0453	天劍記	2003	昱泉	TW		post2000
cdg-0456	天命奇御	2018	甲山林娛樂	null		post2000
cdg-0462	天地風雲錄	2003	斯普軟件	null	極真	post2000
cdg-0473	天狐16張	2003	伊思儷	TW		post2000
cdg-0489	太平洋戰爭	2004	2 by 3	null		post2000
cdg-0494	太空小蜜蜂	1995	Taito	null		dup:cdg-0496
cdg-0495	太空小蜜蜂	1996	Taito,Kinesoft	null		dup:cdg-0496
cdg-0499	太空小蜜蜂	1995	Pop	null		dup:cdg-0496
cdg-0509	小	2003	昱泉	TW	統一	post2000
cdg-0572	幻想三國誌5	2018	宇峻奧汀,鳳凰遊戲	null		post2000
cdg-0584	幻想空間8：優等生	2004	YUGames,Sierra On-Line	null		post2000
cdg-0596	幻魔霸主	2004	Black Hole	null		post2000
cdg-0609	比基尼雀美眉	2003	伊思儷	TW		post2000
cdg-0618	水晶之約1：夢幻假日	2004	Crazy Bugs	null		post2000
cdg-0701	反恐精英：叢林行動	2006	City	null		post2000
cdg-0735	武士道	1989	MPS Labs	null		dup:cdg-0734
cdg-0763	地城領主	2005	Heuristic Park	null	英特衛	post2000
cdg-0769	地面控制2：大撤退	2004	Massive	null	斐凡迪環球	post2000
cdg-0817	成人方塊	2004	極真科技	TW		post2000
cdg-0825	百戰天蟲：蟲堡大作戰	2004	Team 17	null		post2000
cdg-0829	百戰天蟲3	2003	Team 17	null		post2000
cdg-0865	艷鬼大富翁	2003	伊思儷	TW		post2000
cdg-0878	被遺忘的國度：魔之石	2004	Stormfront	null	星空娛動	post2000
cdg-1020	嘿咻魔法娘	2004	伊思儷	TW		post2000
cdg-1022	四大名捕	2003	第三波	TW	智冠	post2000
cdg-1071	女生宿舍	2005	伊思儷	TW		post2000
cdg-1173	沙丘王子復仇記	2003	Widescreen	null	旭力亞	post2000
cdg-1290	亞特蘭提斯5：神聖遺產	2006	AIE	null		post2000
cdg-1291	亞特蘭提斯之天空巡邏	2006	Big Fish	null		post2000
cdg-1298	奇妙大百科再現	2000	Dynamix	US		edu
cdg-1356	阿貓阿狗2	2005	大宇	TW		post2000
cdg-1375	青蛇2	2005	斯普軟件	null	神遊	post2000
cdg-1397	動物園大亨2	2004	Blue Fang	null		post2000
cdg-1403	式神之城3	2006	Alfa	null		post2000
cdg-1404	改裝車大賽1：美國街頭飆車	2003	Canopy	null		post2000
cdg-1444	秦殤前傳：復活	2004	目標軟件	CN	英寶格	post2000
cdg-1464	美女快打	2004	伊思儷	TW		post2000
cdg-1551	香港地產王	2006	光譜	TW		post2000
