source_id	series	guidebook_title	guidebook_url	cdg_id	cdg_title	match	note
twp/pc-001	twp	三界諭 邦沛之謎 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-001	cdg-0202	三界諭：邦沛之謎	exact	
twp/pc-002	twp	巫術六代 創世神筆之詛咒 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-002	cdg-1104	巫術6：創世神筆之詛咒	manual	
twp/pc-003	twp	三國志Ⅱ電腦暨遊樂器版攻略合集	https://nostalib.simagame.me/guidebooks/twp/pc-003	cdg-0211	三國志2	manual	書名的「電腦暨遊樂器版」指涵蓋範圍，非另一款遊戲
twp/pc-004	twp	三國志III 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-004	cdg-0212	三國志3	exact	
twp/pc-007	twp	黑暗王座/命運之手攻略合集	https://nostalib.simagame.me/guidebooks/twp/pc-007	cdg-2274	黑暗王座	multi	合集：黑暗王座＋凱蘭迪亞傳奇2 命運之手
twp/pc-007	twp	黑暗王座/命運之手攻略合集	https://nostalib.simagame.me/guidebooks/twp/pc-007	cdg-2934	凱蘭迪亞傳奇2：命運之手	multi	合集：黑暗王座＋凱蘭迪亞傳奇2 命運之手
twp/pc-008	twp	三國志IV 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-008	cdg-0213	三國志4	exact	
twp/pc-010	twp	三國志IV 超級攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-010	cdg-0213	三國志4	exact	
twp/pc-011	twp	三國志英傑傳 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-011	cdg-0229	三國志英傑傳	exact	
twp/pc-012	twp	俠客遊攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-012	cdg-1620	俠客遊	exact	
twp/pc-013	twp	三國志V 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-013	cdg-0214	三國志5	exact	
twp/pc-014	twp	三國志孔明傳 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-014	cdg-0225	三國志孔明傳	exact	
twp/pc-015	twp	終極動員令：紅色警戒 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-015	cdg-2065	終極動員令：紅色警戒1	manual	初代紅色警戒
twp/pc-016	twp	暗黑破壞神Diablo 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-016	cdg-2465	暗黑破壞神1	manual	
twp/pc-017	twp	水滸傳~天導一〇八星 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-017	cdg-0622	水滸傳2：天導一○八星	manual	天導一○八星＝水滸傳2
twp/pc-018	twp	安琪莉可~女王之路溫馨攻略指南	https://nostalib.simagame.me/guidebooks/twp/pc-018	cdg-0800	安琪莉可女王之路	manual	
twp/pc-021	twp	紅色警戒之絕地逢生 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-021			none	紅色警戒資料片「絕地逢生」，catalog 未獨立收
twp/pc-022	twp	古墓奇兵II 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-022	cdg-0907	古墓奇兵2：西安匕首	manual	
twp/pc-023	twp	信長之野望 將星錄 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-023	cdg-1642	信長之野望7：將星錄	manual	
twp/pc-024	twp	異塵餘生 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-024	cdg-1942	異塵餘生1	manual	書名無代數，暫定初代待確認
twp/pc-025	twp	黑暗王座II 天命守護者 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-025	cdg-2275	黑暗王座2天命守護者	exact	
twp/pc-026	twp	阿貓阿狗 徹底攻略本	https://nostalib.simagame.me/guidebooks/twp/pc-026	cdg-1355	阿貓阿狗	exact	
twp/pc-029	twp	迷霧之島II 攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-029	cdg-2560	迷霧之島2	exact	
twp/pc-030	twp	星海爭霸 完全教戰攻略集	https://nostalib.simagame.me/guidebooks/twp/pc-030	cdg-2404	星海爭霸	exact	
