bucket	ids	published	date	section	line	text
DECIDE	cdg-4519	cdg-4519:true	2026-06-20	(前言平鋪)	12	真命天子（cdg-4519）— Windows 即時戰略、非 DOS，是否符合收錄範圍待定；發行年 1997／1999 兩說，待確認正式發行年（2026-06-20）
SOURCE	cdg-4520	cdg-4520:true	2026-06-20	(前言平鋪)	13	如意集（cdg-4520）— 僅一手來源（青衫 Omega 說明書轉貼），Apple II 1985 冷門款；先前 pipeline 曾誤判 reject，待補佐證並確認收錄（2026-06-20）
SOURCE	cdg-2930|cdg-2931	cdg-2930:true,cdg-2931:false	2026-06-20	(前言平鋪)	16	凱撒大帝2（cdg-2930）— 發行歧異：使用者 hint「第三波原裝進口」，但證據（青衫＋catalog）顯示為松崗中文版；「第三波」對應的是凱撒大帝3（cdg-2931）。已依證據寫成松崗中文版，待確認是否另有第三波進口版（2026-06-20）
SOURCE	cdg-2261	cdg-2261:true	2026-06-20	(前言平鋪)	17	黃飛鴻－鐵雞鬥蜈蚣（cdg-2261）— 資料極稀（青衫無介紹頁），genre 暫用「格鬥」、實際玩法/角色查無，待補佐證（2026-06-20）
SOURCE	cdg-4522	cdg-4522:true	2026-06-20	(前言平鋪)	18	龍城飛將（cdg-4522，艾生）— 使用者於雜誌廣告所見、已建 stub；全網查無線上條目，year/genre/platform/玩法皆 null 待補；「第一款中國空軍飛行模擬」之說待考（2026-06-20）
SOURCE	cdg-4523	cdg-4523:true	2026-06-20	(前言平鋪)	19	刀劍決（cdg-4523，花道）— 使用者於雜誌廣告所見、已建 stub；全網查無線上條目，year/genre/內容皆 null 待補（2026-06-20）
SOURCE	cdg-3620	cdg-3620:true	2026-06-20	(前言平鋪)	20	馬場大亨（cdg-3620）— developer「紅螞蟻工作室」為使用者提供，公開來源（PTT/Fandom/青衫/百科）僅見發行商智冠、查無此開發團隊佐證，待查（2026-06-20）
?	cdg-3458	cdg-3458:true	2026-06-20	(前言平鋪)	21	華麗人生（一代）— 日本 Fairytale 原作（華麗なる人生，X68000 1992），台灣天堂鳥僅代理二代（cdg-3458）；一代無台灣發行，依「只收台灣發行/代理」準則暫不建檔（2026-06-20）
SOURCE	cdg-4283	cdg-4283:true	2026-06-20	(前言平鋪)	22	六道天書（cdg-4283）— 使用者 hint「幻想風暴 研展開發」公開來源查無此公司，實為旭力亞自製、元古科技代理（已訂正），待查幻想風暴是否為內部小組（2026-06-20）
CLOSE	cdg-0592	cdg-0592:true	2026-06-20	(前言平鋪)	23	幻舞天使（cdg-0592）— 使用者 hint「華彩軟體」有誤（華彩＝Soft China、與本作無關），實為韓國 Garam & Baram 開發、Kama 原韓發行、聖教士代理（已訂正）（2026-06-20）
SOURCE	cdg-1531	cdg-1531:true	2026-06-20	(前言平鋪)	24	風色幻想SP（cdg-1531）— 使用者 hint「軟體世界(智冠)發行」查無佐證，多源記弘煜自行發行（暫採弘煜），待查（2026-06-20）
SOURCE	cdg-4524	cdg-4524:true	2026-06-20	(前言平鋪)	25	速食店（cdg-4524）— 是《便利商店》的資料片（非獨立遊戲），暫獨立建檔；確切發行細節待補（2026-06-20）
SOURCE	cdg-3449	cdg-3449:false	2026-07-03	(前言平鋪)	30	英雄聖戰2（cdg-3449）— 使用者清單標副標「聖劍戰爭」，但線上唯一來源青衫僅作「英雄聖戰2」、Bangumi／巴哈皆查無此副標；title_zh 暫維持「英雄聖戰2」、副標收 alias 待佐證。genre 依青衫「即時戰略」改 RTS（與初代 SRPG 不同、亦僅青衫一源）。2 代網路足跡極稀，僅青衫一源（2
SOURCE	cdg-4833	cdg-4833:false	2026-07-03	(前言平鋪)	31	飄羽系列（cdg-4833/4834/4835）— Exe Create（大阪商業公司，非同人）動作 RPG，協和／光譜代理；台灣中文版精確發售日多為月份層級、部分單源（xuite/巴哈），待補確切日期。現代重製《Frane: Dragons' Odyssey》(KEMCO) 重製對象為 Frane III 或整個系列
SOURCE	-	(無id)	2026-06-21	(前言平鋪)	32	夏日物語 細節待補 — 確切發行日 1992/9/20 與韓文版（SKC Softland）目前皆 9imx 單源，待第二源；發行年另有 1994 一說（GRX 站），多源採 1992（2026-06-21）
SOURCE	cdg-2732	cdg-2732:true	2026-06-21	(前言平鋪)	33	夢幻天使（cdg-2732）— 未見於 GRX 作品年表，developer「琪薇」歸屬仍缺第一手佐證，維持待考（2026-06-21）
SOURCE	cdg-4113|cdg-1412|cdg-4113	cdg-4113:true,cdg-1412:缺檔,cdg-4113:true	2026-06-21	(前言平鋪)	34	魔法皇冠（cdg-4113）疑與 皇室血裔1（cdg-1412）重複 — 兩者皆 KOEI 1991、實為同作 Royal Blood／Gemfire 的不同中文譯名（魔法皇冠＝第三波 DOS 版名、皇室血裔＝Royal Blood 直譯）。本次依使用者指定完成 cdg-4113，未合併；待決是否 dedup（2026
SOURCE	cdg-1192	cdg-1192:true	2026-06-21	(前言平鋪)	35	波斯王子2：影與火（cdg-1192）外盒語言待考 — 雜誌廣告佐證松崗代理、遊戲本體未中文化；外盒是原版包裝或中文外盒不確定，暫標 localization_level: packaging（2026-06-21）
SOURCE	cdg-0503	cdg-0503:true	2026-06-21	(前言平鋪)	37	太閣立志傳 用字 — catalog 用「太閣」（閣），正確應為「太閤」（閤，秀吉官職）；series 頁與 cdg-0503~0507 標題沿用「閣」，待決是否全面正名（2026-06-21）
SOURCE	cdg-2304	cdg-2304:true	2026-06-21	(前言平鋪)	38	文明帝國2（cdg-2304）中文化程度 — 依使用者「原版包裝＋中文手冊」標 `packaging`、content_language=en；惟青衫原將其列 zh-content，第三波版實物佐證未取得，待確認（2026-06-21）
